id,role,skills,category,title,difficulty,tags,answer_explanation,answer_code
1,Frontend Developer,"React, JavaScript",Fundamentals,Explain how React's virtual DOM works and why it improves performance.,medium,"{React,DOM,Performance}","The **Virtual DOM (VDOM)** is a programming concept where an ideal, or 'virtual', representation of a UI is kept in memory and synced with the 'real' DOM. It's an object representation of the real DOM. When state changes, the VDOM is updated, a diffing algorithm compares the new VDOM with the previous one, and only the specific nodes that changed are patched into the real DOM. This minimizes direct manipulation of the slow real DOM.",// No code example needed for this theoretical question
2,Frontend Developer,JavaScript,Async,Write a polyfill for Promise.all(),hard,"{JavaScript,Promises,Coding}",A `Promise.all` polyfill accepts an iterable of promises and returns a single promise that resolves when all of the promises in the iterable have resolved. It rejects if any of the promises reject.,"
function promiseAllPolyfill(promises) {
    return new Promise((resolve, reject) => {
        const results = [];
        let resolvedCount = 0;

        if (promises.length === 0) {
            return resolve([]);
        }

        promises.forEach((promise, index) => {
            Promise.resolve(promise).then(value => {
                results[index] = value;
                resolvedCount++;

                if (resolvedCount === promises.length) {
                    resolve(results);
                }
            }).catch(reject); // Short-circuit on first rejection
        });
    });
}
"
3,Backend Developer,"Python, Django, FastAPI",System Design,Design a URL shortener service like Bit.ly.,hard,"{""System Design"",Databases,Hashing}","A URL shortener requires components like a Hashing function (e.g., Base62 encoding) to generate short IDs, a database (like PostgreSQL/Cassandra) to store the mapping of short\_ID -> long\_URL, and a redirection service to handle the lookup and 301/307 redirect.",
4,Frontend Developer,"React, JavaScript, CSS",Fundamentals,Explain how React's virtual DOM works. (1),medium,"{React,DOM,Performance}","The Virtual DOM is an in-memory representation of the real DOM, used by React to efficiently update the UI.",// No code needed
5,Frontend Developer,"React, JavaScript, CSS",Fundamentals,What are React Hooks and why are they useful? (1),medium,"{React,Hooks}",Hooks allow functional components to manage state and side effects.,"const [state, setState] = useState(0);"
6,Frontend Developer,"React, JavaScript, CSS",Fundamentals,Explain event delegation in JavaScript. (1),medium,"{JavaScript,Events}",Event delegation allows a single handler on a parent element to handle events for multiple child elements.,
237,Machine Learning Engineer (ML),Python,Fundamentals,Difference between bias–variance tradeoff and how to detect/solve it.,medium,"{Python,Fundamentals}","Bias refers to error from erroneous assumptions in the learning algorithm (underfitting), while variance is error from sensitivity to small fluctuations in the training set (overfitting). The tradeoff implies reducing one often increases the other; the goal is to find a balance for optimal generalization. Detect with learning curves or validation curves; solve via regularization, more data (for variance), simpler/complex models, or ensemble methods.",from sklearn.model_selection import learning_curve
238,Machine Learning Engineer (ML),Python,Fundamentals,Explain regularization (L1 vs L2)—when to use which?,medium,"{Python,Fundamentals}","Regularization prevents overfitting by adding a penalty to the loss function based on the magnitude of model coefficients. L1 (Lasso) adds an absolute value penalty (||w||1), promoting sparsity and performing implicit feature selection by driving some coefficients to zero. L2 (Ridge) adds a squared magnitude penalty (||w||2^2), shrinking coefficients towards zero but rarely to zero, effectively reducing their impact without removing features entirely. Use L1 when feature selection is crucial or many features are irrelevant; use L2 to simply reduce the impact of less important features and improve generalization.","from sklearn.linear_model import Lasso, Ridge"
239,Machine Learning Engineer (ML),Python,Fundamentals,How do you handle imbalanced datasets?,medium,"{Python,Fundamentals}","Imbalanced datasets lead to models biased towards the majority class. Strategies include: resampling techniques like oversampling the minority class (e.g., SMOTE) or undersampling the majority class; using appropriate evaluation metrics like precision, recall, F1-score, or AUC-ROC instead of accuracy; cost-sensitive learning, which assigns higher penalties to misclassifying the minority class; and ensemble methods that can perform well on imbalanced data.",from imblearn.over_sampling import SMOTE
240,Machine Learning Engineer (ML),Python,Fundamentals,What is cross-validation? Why is k=5 or k=10 common?,easy,"{Python,Fundamentals}","Cross-validation is a resampling procedure used to evaluate machine learning models on a limited data sample. It involves partitioning the dataset into k equally sized folds, training the model on k-1 folds, and validating on the remaining fold, repeating this k times. k=5 or k=10 are common because they offer a good balance between bias and variance in performance estimation; higher k uses more data for training (lower bias) and provides more estimates (lower variance) but is computationally more expensive, while lower k is faster but can have higher bias and variance.","from sklearn.model_selection import KFold, cross_val_score"
