job_id,skill_id
1,1
1,2
1,3
1,4
1,5
2,1
2,2
2,3
2,4
2,5
3,1
3,2
3,3
3,4
3,5
4,1
4,2
4,3
4,4
4,5
5,6
5,7
5,8
5,9
6,6
6,7
6,8
6,9
7,1
7,2
7,3
7,4
7,5
8,6
8,8
8,9
9,10
9,11
9,12
9,13
10,8
10,13
10,14
10,2
10,15
11,16
11,15
11,17
11,14
12,15
12,8
12,3
12,16
12,12
13,18
13,4
13,13
13,6
13,1
13,14
14,18
14,11
14,7
14,2
14,10
14,15
15,19
15,14
15,5
15,1
16,9
16,13
16,18
16,19
17,20
17,14
17,15
17,11
18,17
18,6
18,1
18,4
19,15
19,21
19,20
19,16
19,8
19,9
20,20
20,2
20,5
20,7
20,12
21,1
21,12
21,8
21,22
21,7
21,19
22,11
22,20
22,1
22,9
23,22
23,12
23,11
23,7
23,9
23,19
24,20
24,16
24,4
24,22
24,14
24,7
25,14
25,11
25,7
25,5
25,18
26,7
26,9
26,13
26,17
26,15
26,22
27,21
27,14
27,23
27,22
28,7
28,4
28,6
28,9
29,9
29,12
29,2
30,22
30,6
30,1
31,12
31,9
31,14
31,4
31,1
32,11
32,22
32,18
32,3
33,21
33,10
33,14
34,5
34,18
34,15
34,6
35,5
35,16
35,17
35,10
35,13
35,11
36,13
36,17
36,8
36,4
36,7
37,21
37,4
37,5
37,11
38,18
38,20
38,23
38,6
38,2
38,16
39,9
39,17
39,16
39,10
39,15
40,6
40,19
40,12
40,20
40,11
41,15
41,4
41,2
41,18
42,20
42,5
42,16
42,22
42,2
42,10
43,21
43,13
43,11
43,5
44,9
44,7
44,3
44,10
45,20
45,3
45,15
45,14
45,6
46,9
46,23
46,8
46,21
46,19
47,6
47,1
47,18
47,22
47,4
47,8
48,8
48,12
48,21
48,11
49,14
49,12
49,6
49,1
49,5
50,18
50,19
50,1
51,19
51,5
51,7
51,17
51,20
52,24
52,9
52,17
52,3
52,23
53,17
53,8
53,15
53,1
53,14
54,19
54,4
54,2
55,6
55,5
55,17
56,1
56,20
56,22
57,2
57,13
57,11
58,22
58,17
58,12
58,15
58,2
58,7
59,11
59,2
59,19
59,24
60,15
60,8
60,3
61,19
61,13
61,7
61,20
62,5
62,3
62,7
63,8
63,5
63,17
63,15
63,6
64,7
64,1
64,15
64,12
64,18
64,3
65,11
65,23
65,4
65,6
66,12
66,18
66,1
66,2
66,14
67,14
67,13
67,2
68,16
68,24
68,1
68,21
69,8
69,7
69,19
70,10
70,12
70,14
70,21
70,9
71,16
71,2
71,8
71,21
72,17
72,22
72,19
73,16
73,22
73,3
73,12
73,1
73,24
74,11
74,5
74,24
74,17
74,21
74,14
75,21
75,23
75,24
75,4
75,6
75,9
76,11
76,17
76,1
76,24
76,10
77,1
77,15
77,17
78,2
78,9
78,18
78,22
78,5
79,16
79,24
79,9
80,5
80,7
80,12
80,2
80,8
80,18
81,9
81,22
81,3
81,24
81,12
82,13
82,16
82,2
82,18
83,8
83,22
83,17
83,4
83,10
83,6
84,21
84,13
84,12
85,15
85,20
85,8
85,6
85,1
85,12
86,8
86,21
86,11
86,24
86,17
86,14
87,3
87,15
87,13
88,4
88,11
88,12
88,2
89,8
89,11
89,15
89,23
89,13
90,3
90,1
90,7
90,16
90,15
91,12
91,3
91,9
92,17
92,14
92,23
93,16
93,18
93,15
93,22
93,19
93,17
94,5
94,2
94,11
94,9
95,19
95,18
95,3
95,12
95,17
95,11
96,22
96,20
96,15
97,9
97,14
97,10
97,13
97,5
97,4
98,11
98,19
98,14
98,21
99,14
99,13
99,12
100,18
100,22
100,13
100,11
100,24
100,5
101,6
101,4
101,18
101,12
101,14
102,20
102,24
102,2
102,8
103,2
103,19
103,18
103,22
103,3
104,15
104,2
104,11
105,24
105,21
105,7
106,15
106,7
106,20
107,21
107,17
107,15
107,20
107,4
108,1
108,4
108,6
108,22
109,24
109,10
109,4
109,11
109,20
109,9
110,9
110,4
110,5
111,14
111,15
111,13
111,19
112,19
112,14
112,23
112,17
113,7
113,1
113,2
113,13
113,4
113,17
114,11
114,21
114,1
114,19
114,24
115,3
115,17
115,6
115,7
116,1
116,9
116,7
117,8
117,18
117,7
117,14
117,5
117,17
118,14
118,6
118,24
119,21
119,11
119,10
119,4
119,3
119,5
120,5
120,20
120,19
120,3
121,20
121,12
121,15
121,3
121,9
121,10
122,22
122,12
122,20
122,8
122,4
122,7
123,12
123,16
123,15
123,5
123,21
124,1
124,16
124,5
124,11
124,6
125,8
125,15
125,24
126,12
126,17
126,8
126,13
126,7
127,24
127,14
127,22
127,20
127,11
128,2
128,20
128,21
128,22
128,10
129,18
129,15
129,24
129,14
129,16
129,5
130,18
130,15
130,9
131,3
131,14
131,1
131,9
132,11
132,22
132,13
133,2
133,9
133,3
133,8
133,19
133,10
134,21
134,14
134,24
135,22
135,20
135,16
135,1
136,4
136,6
136,17
136,2
136,12
136,21
137,18
137,9
137,2
138,7
138,18
138,22
138,8
138,20
139,16
139,2
139,24
139,20
139,1
140,8
140,17
140,9
140,2
140,19
141,24
141,16
141,11
141,9
142,18
142,21
142,20
143,7
143,23
143,9
143,5
143,20
143,14
144,6
144,10
144,21
144,20
145,21
145,22
145,1
146,12
146,5
146,18
146,17
147,2
147,15
147,23
147,24
147,8
147,13
148,21
148,5
148,2
148,11
148,16
149,10
149,15
149,24
149,5
149,23
149,2
150,13
150,20
150,23
151,20
151,1
151,13
151,8
151,19
152,23
152,4
152,13
152,1
152,8
152,21
153,19
153,20
153,23
154,10
154,3
154,4
154,14
154,17
154,7
155,9
155,6
155,21
155,8
155,5
155,22
156,16
156,7
156,8
156,4
156,21
156,13
157,16
157,21
157,6
158,12
158,17
158,23
158,5
158,22
158,15
159,3
159,15
159,9
159,11
159,18
160,1
160,11
160,12
161,2
161,18
161,23
161,14
162,7
162,20
162,6
162,22
162,13
162,10
163,9
163,14
163,2
164,16
164,9
164,20
164,3
165,15
165,21
165,12
165,20
166,13
166,19
166,21
166,17
166,10
167,5
167,21
167,19
167,20
167,2
168,3
168,19
168,4
168,15
168,12
168,16
169,23
169,12
169,5
170,6
170,13
170,16
171,11
171,10
171,8
172,1
172,12
172,4
173,12
173,5
173,23
174,7
174,5
174,18
175,5
175,10
175,6
175,11
176,3
176,13
176,19
176,10
176,20
176,8
177,11
177,12
177,13
177,9
178,24
178,18
178,21
178,8
178,14
178,5
179,11
179,6
179,23
179,14
179,15
180,17
180,21
180,14
180,6
181,22
181,12
181,10
181,6
181,14
181,23
182,18
182,8
182,5
182,3
183,2
183,22
183,23
183,11
184,17
184,13
184,6
184,5
184,12
185,4
185,14
185,11
185,16
186,17
186,18
186,14
186,11
186,3
187,18
187,20
187,2
187,21
188,6
188,16
188,15
189,17
189,6
189,4
189,3
190,16
190,2
190,15
190,18
191,21
191,5
191,7
191,9
191,2
192,22
192,7
192,5
192,19
192,13
192,8
193,13
193,5
193,22
193,8
193,23
193,14
194,6
194,18
194,14
194,11
194,1
194,15
195,15
195,20
195,21
195,10
195,24
195,19
196,23
196,16
196,19
197,13
197,17
197,15
197,1
198,16
198,12
198,22
199,18
199,16
199,17
199,7
199,15
200,18
200,23
200,2
200,15
201,24
201,12
201,9
202,6
202,17
202,21
202,4
203,2
203,24
203,3
203,15
203,14
203,16
204,16
204,24
204,9
204,21
204,17
205,23
205,7
205,15
205,19
205,17
205,10
206,16
206,11
206,12
206,24
207,4
207,17
207,1
207,6
207,14
207,5
208,23
208,11
208,9
208,2
208,13
209,10
209,18
209,23
210,22
210,20
210,11
211,23
211,13
211,18
211,10
211,19
212,22
212,3
212,6
212,5
213,2
213,16
213,22
213,3
213,9
213,10
214,24
214,5
214,18
214,15
214,6
215,11
215,4
215,12
216,14
216,21
216,5
216,3
216,15
216,10
217,3
217,12
217,16
217,11
218,9
218,6
218,13
218,15
218,21
219,12
219,13
219,11
219,10
220,4
220,10
220,22
220,5
220,23
221,17
221,1
221,5
221,9
221,2
221,6
222,12
222,4
222,17
222,5
222,15
222,1
223,18
223,4
223,8
224,17
224,3
224,22
224,10
224,23
225,1
225,2
225,19
225,5
225,23
225,10
226,6
226,9
226,7
226,21
226,12
227,19
227,22
227,9
227,15
228,21
228,22
228,23
228,16
228,12
228,1
229,12
229,19
229,15
229,14
229,3
230,8
230,5
230,9
230,16
230,7
230,18
231,2
231,22
231,13
231,8
232,20
232,15
232,23
233,8
233,2
233,3
233,15
234,12
234,8
234,13
234,3
234,9
235,17
235,16
235,19
235,21
235,11
236,24
236,18
236,10
237,4
237,18
237,12
237,16
237,15
238,2
238,17
238,11
238,20
239,16
239,14
239,9
239,12
240,1
240,19
240,21
241,18
241,3
241,7
241,8
241,22
241,15
242,18
242,8
242,20
243,18
243,15
243,14
243,23
244,14
244,1
244,20
245,12
245,23
245,2
245,14
245,13
245,5
246,17
246,9
246,21
247,17
247,22
247,12
247,6
247,7
247,9
248,13
248,5
248,21
249,4
249,16
249,12
249,6
250,11
250,14
250,4
250,24
250,17
250,19
251,19
251,16
251,7
251,13
252,21
252,7
252,5
252,13
252,11
253,8
253,13
253,15
253,18
254,6
254,16
254,13
254,12
254,15
255,12
255,20
255,22
255,21
255,2
256,22
256,19
256,20
257,18
257,23
257,2
257,19
257,13
258,3
258,20
258,8
258,14
258,2
258,21
259,7
259,4
259,17
259,6
260,10
260,9
260,19
260,5
261,18
261,21
261,7
262,9
262,3
262,22
262,14
263,1
263,18
263,21
264,2
264,4
264,19
264,14
264,6
265,20
265,24
265,23
266,19
266,22
266,15
266,1
266,14
266,6
267,18
267,9
267,2
267,11
267,13
268,15
268,12
268,3
268,22
269,24
269,6
269,19
270,18
270,13
270,12
270,17
270,24
270,21
271,15
271,16
271,18
272,9
272,14
272,12
272,4
273,19
273,15
273,14
274,11
274,19
274,24
274,6
274,5
274,13
275,21
275,13
275,23
275,3
275,22
276,3
276,13
276,10
276,23
276,2
276,20
277,7
277,10
277,3
278,20
278,11
278,12
279,12
279,17
279,13
280,13
280,11
280,24
280,23
280,5
281,14
281,15
281,2
281,19
282,23
282,2
282,12
282,3
282,4
283,10
283,19
283,5
284,16
284,20
284,14
284,3
284,23
285,6
285,1
285,8
286,18
286,7
286,20
286,17
287,7
287,12
287,20
287,11
287,22
288,16
288,18
288,19
288,1
288,5
289,13
289,21
289,8
289,15
289,20
290,12
290,7
290,19
291,24
291,2
291,3
291,12
291,22
291,18
292,21
292,9
292,16
292,3
293,6
293,3
293,18
293,12
293,24
293,9
294,17
294,8
294,3
294,11
295,2
295,13
295,17
295,20
295,5
295,8
296,19
296,3
296,13
296,22
296,18
297,6
297,10
297,7
297,18
298,15
298,1
298,5
298,7
298,23
298,2
299,21
299,15
299,13
300,20
300,23
300,22
300,7
300,9
301,20
301,9
301,6
301,19
301,16
302,3
302,1
302,20
302,6
303,18
303,24
303,20
303,10
303,14
303,23
304,24
304,22
304,17
304,12
304,18
304,21
305,9
305,20
305,10
306,2
306,11
306,19
307,13
307,22
307,4
307,20
307,6
307,3
308,14
308,6
308,3
308,5
309,14
309,23
309,8
310,4
310,13
310,3
310,9
311,2
311,22
311,11
311,24
311,10
312,2
312,3
312,4
312,5
313,12
313,13
313,6
313,17
314,11
314,16
314,6
314,15
314,20
315,15
315,3
315,20
315,13
315,14
316,21
316,3
316,12
316,22
316,14
316,5
317,23
317,12
317,6
317,10
317,16
317,2
318,20
318,16
318,22
318,15
319,14
319,7
319,10
319,9
319,15
320,17
320,23
320,19
321,7
321,17
321,24
321,21
321,20
322,18
322,2
322,5
322,22
322,23
323,20
323,12
323,2
324,8
324,21
324,12
325,6
325,4
325,1
325,3
325,23
326,3
326,1
326,19
326,4
326,12
326,7
327,1
327,20
327,5
328,5
328,14
328,7
329,7
329,22
329,10
330,2
330,15
330,17
330,18
331,4
331,11
331,17
331,21
331,20
332,24
332,20
332,23
333,9
333,20
333,13
333,4
334,10
334,12
334,15
335,4
335,19
335,11
335,16
336,3
336,19
336,14
337,16
337,24
337,1
338,11
338,14
338,16
338,20
338,18
338,7
339,1
339,14
339,24
340,4
340,24
340,15
340,22
340,18
341,6
341,1
341,19
342,12
342,19
342,23
343,11
343,8
343,5
343,18
343,22
343,14
344,9
344,19
344,1
344,10
344,5
344,12
345,13
345,7
345,22
345,14
345,24
346,11
346,21
346,4
346,13
347,22
347,16
347,17
347,11
347,4
347,13
348,3
348,13
348,11
349,3
349,17
349,4
349,20
349,18
349,13
350,15
350,4
350,7
350,17
350,21
350,22
351,12
351,22
351,4
351,2
352,5
352,1
352,9
352,23
353,9
353,10
353,4
354,14
354,24
354,5
354,22
354,19
354,12
355,8
355,16
355,5
356,23
356,7
356,5
356,20
356,19
356,6
357,7
357,23
357,3
357,8
358,12
358,10
358,16
358,5
358,3
358,18
359,24
359,16
359,14
359,7
359,13
