id,title,company,location,salary,type,description,posted,skills
1,Senior Frontend Developer,Tech Innovations Inc.,"San Francisco, CA (Remote)",$120K - $160K,Full-time,"Lead the development of high-performance user interfaces using modern React ecosystems. Responsibilities include architecting frontend solutions, mentoring junior developers, and ensuring seamless UX across all devices. You will work closely with design teams to implement pixel-perfect components and optimize web performance for millions of global users. Be part of a diverse team pushing technological boundaries.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
2,Senior Frontend Developer,Tech Innovations Inc.,"San Francisco, CA (Remote)",$120K - $160K,Full-time,"As a Senior Frontend Developer, you will drive the technical direction of our client-side applications. We are looking for an expert in React and TypeScript who can build scalable architectures and lead complex feature implementations. You will be responsible for setting coding standards, performing code reviews, and collaborating with backend engineers to define efficient API contracts. Looking for a self-motivated individual who loves solving complex problems.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
3,Senior Frontend Developer,Tech Innovations Inc.,"San Francisco, CA (Remote)",$120K - $160K,Full-time,"Join our engineering team to build the next generation of web interfaces. You will focus on building reusable component libraries, implementing advanced state management patterns, and ensuring our applications are accessible and performant. This role requires a deep understanding of browser internals and modern CSS techniques to deliver a premium user experience. Join us to make a real impact.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
4,Senior Frontend Developer,Tech Innovations Inc.,"San Francisco, CA (Remote)",$120K - $160K,Full-time,"Lead the development of high-performance user interfaces using modern React ecosystems. Responsibilities include architecting frontend solutions, mentoring junior developers, and ensuring seamless UX across all devices. You will work closely with design teams to implement pixel-perfect components and optimize web performance for millions of global users. Looking for a self-motivated individual who loves solving complex problems.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
5,Backend Engineer,DataWorks Ltd.,"New York, NY",$110K - $140K,Full-time,"We are looking for a Backend Engineer to join our core platform team. You will build high-throughput microservices, optimize complex database queries, and implement secure authentication systems. Experience with message brokers like Kafka or Redis is a plus as you will work on event-driven architectures to process data in real-time. Be part of a diverse team pushing technological boundaries.",,"Node.js, Python, PostgreSQL, Redis, Microservices, gRPC"
6,Backend devop Engineer,DataWorks Ltd.,"New York, NY",$110K - $140K,Full-time,Combine your software engineering skills with systems knowledge to build resilient infrastructure. You will develop backend logic while also taking ownership of infrastructure as code and site reliability. This dual role requires expertise in Go or Python and a deep understanding of network protocols and cloud security. Join us to make a real impact.,,"Python, Go, Docker, Kubernetes, AWS, Terraform"
7,Senior Frontend Developer,Tech Innovations Inc.,"San Francisco, CA (Remote)",$120K - $190K,Full-time,"Lead the development of high-performance user interfaces using modern React ecosystems. Responsibilities include architecting frontend solutions, mentoring junior developers, and ensuring seamless UX across all devices. You will work closely with design teams to implement pixel-perfect components and optimize web performance for millions of global users. Be part of a diverse team pushing technological boundaries.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
8,Backend Engineer,DataWorks Ltd.,"New York, NY",$170K - $190K,Full-time,"We are looking for a Backend Engineer to join our core platform team. You will build high-throughput microservices, optimize complex database queries, and implement secure authentication systems. Experience with message brokers like Kafka or Redis is a plus as you will work on event-driven architectures to process data in real-time. Join us to make a real impact.",,"Node.js, Python, PostgreSQL, Redis, Microservices, gRPC"
9,DevOps Engineer,CloudOps Solutions,"Austin, TX",$145K - $175K,Full-time,"Join our DevOps team to build and maintain the foundations of our software delivery platform. You will focus on building automated testing environments, implementing centralized logging and tracing, and ensuring our developer experience is world-class through efficient tooling and automation. Experience with agile methodologies is preferred for this role.",,"AWS, Docker, Kubernetes, Terraform, Jenkins, Monitoring"
10,Full Stack Developer,Flipkart,"Gurugram, Haryana",$141K - $168K,Full-time,"End-to-end development of web applications using the MERN stack. Handle everything from database design and server-side logic to building interactive frontend components with React. You will be responsible for the entire feature lifecycle, ensuring a cohesive and performant experience across the full application stack. Experience with agile methodologies is preferred for this role.",,"React, Node.js, MongoDB, Express.js, GraphQL, AWS"
11,Mobile App Developer,Mindtree,"Bengaluru, Karnataka",$86K - $151K,Remote,"Join our mobile team to create engaging user experiences on smartphones and tablets. You will build feature-rich applications, implement offline sync capabilities, and ensure our mobile products are stable and secure. Experience with mobile CI/CD and publishing to App Store and Google Play is required. We offer competitive benefits and a remote-friendly culture.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
12,Full Stack Developer,Flipkart,"Pune, Maharashtra",$101K - $195K,Remote,"Build full-featured applications from the ground up. You will architect database schemas, develop robust backend services, and create dynamic user interfaces. Collaboration is key as you will work with product managers to translate requirements into fully functional technical solutions across all layers of the stack. Join us to make a real impact.",,"React, Node.js, MongoDB, Express.js, GraphQL, AWS"
13,Data Scientist,Cognizant India,"Noida, Uttar Pradesh",$82K - $173K,Remote,"Extract meaningful insights from complex datasets using Python and R. Apply statistical modeling and machine learning techniques to solve business problems and drive data-driven decision making. You will be responsible for data cleaning, exploratory analysis, and presenting findings to stakeholders. Join us to make a real impact.",,"Python, R, SQL, Pandas, Scikit-Learn, Data Visualization"
14,Machine Learning Engineer,Flipkart,"Mumbai, Maharashtra",$105K - $163K,Remote,"As an ML Engineer, you will bridge the gap between research and production. You will take prototype models and turn them into scalable, high-performance services. This involves optimizing inference latency, managing large datasets for training, and building automated retraining pipelines. Be part of a diverse team pushing technological boundaries.",,"PyTorch, TensorFlow, NLP, Computer Vision, MLOps, Model Deployment"
15,iOS Developer,L&T Infotech,"Hyderabad, Telangana",$124K - $172K,Remote,"Develop sophisticated iOS apps that our users love. You will focus on smooth animations, efficient memory management, and integrating with hardware sensors and APIs. This role involves participating in design sprints and contributing to the overall product strategy from a mobile-first perspective. Looking for a self-motivated individual who loves solving complex problems.",,"Swift, SwiftUI, Objective-C, Core Data, XCode, iOS SDK"
16,Machine Learning Engineer,Google India,"Gurugram, Haryana",$84K - $175K,Part-time,"Design, build, and deploy machine learning models at scale using PyTorch or TensorFlow. Work on deep learning architectures, feature engineering, and optimizing models for production environments. You will implement MLOps practices to ensure model reproducibility and monitor performance in real-time. Experience with agile methodologies is preferred for this role.",,"PyTorch, TensorFlow, NLP, Computer Vision, MLOps, Model Deployment"
17,Software Engineer,Google India,"Jaipur, Rajasthan",$116K - $177K,Remote,"Join our engineering team to solve complex technical challenges. You will apply software design patterns to build reusable libraries and ensure the long-term maintainability of our codebase. This role requires strong problem-solving skills and the ability to work effectively in a collaborative, agile environment. We offer competitive benefits and a remote-friendly culture.",,"Java, C++, Spring Boot, SQL, Design Patterns, Unit Testing"
18,Mobile App Developer,Amazon India,"Ahmedabad, Gujarat",$121K - $188K,Full-time,"Architect and build cross-platform mobile solutions that delight users. You will focus on pixel-perfect UI implementation, optimizing app startup times, and managing complex application states. This role involves working closely with UX designers to push the boundaries of mobile interaction design. Join us to make a real impact.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
19,QA Engineer,Infosys,"Jaipur, Rajasthan",$91K - $193K,Full-time,"Ensure the highest quality of software products through comprehensive automated and manual testing. Develop automated test suites using Selenium or Cypress, perform regression testing, and track bug reports from identification to resolution. You will be the advocate for quality throughout the development process. Be part of a diverse team pushing technological boundaries.",,"Selenium, Cypress, Jest, Manual Testing, API Testing, Load Testing"
20,Senior Frontend Developer,Tech Mahindra,"Jaipur, Rajasthan",$97K - $194K,Remote,"As a Senior Frontend Developer, you will drive the technical direction of our client-side applications. We are looking for an expert in React and TypeScript who can build scalable architectures and lead complex feature implementations. You will be responsible for setting coding standards, performing code reviews, and collaborating with backend engineers to define efficient API contracts. Experience with agile methodologies is preferred for this role.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
21,UI/UX Designer,Microsoft India,"Pune, Maharashtra",$132K - $193K,Part-time,Drive the design vision of our platform. You will be responsible for creating a cohesive design system that scales across multiple products and platforms. Strong communication skills are essential as you will present your design decisions to stakeholders and work closely with engineering to bring them to life. We offer competitive benefits and a remote-friendly culture.,,"Figma, Adobe XD, User Research, Prototyping, Wireframing, Visual Design"
22,Product Manager,Infosys,"Bengaluru, Karnataka",$122K - $151K,Remote,"Define the product vision and strategy for our core features. Work closely with engineering, design, and business teams to prioritize the roadmap and deliver maximum value to users. You will be responsible for gathering requirements, writing user stories, and managing the product lifecycle from concept to launch. Be part of a diverse team pushing technological boundaries.",,"Agile, Product Roadmap, User Stories, Market Research, Data Analytics"
23,UI/UX Designer,Mindtree,"Hyderabad, Telangana",$142K - $195K,Remote,"We are seeking a UI/UX Designer who can balance aesthetics with usability. You will create user flows, wireframes, and final mockups that solve complex user problems simply. This role involves constant iteration based on user feedback and data, ensuring our products are always evolving to meet user needs. Be part of a diverse team pushing technological boundaries.",,"Figma, Adobe XD, User Research, Prototyping, Wireframing, Visual Design"
24,Mobile App Developer,Capgemini India,Remote,$92K - $150K,Full-time,"Architect and build cross-platform mobile solutions that delight users. You will focus on pixel-perfect UI implementation, optimizing app startup times, and managing complex application states. This role involves working closely with UX designers to push the boundaries of mobile interaction design. Join us to make a real impact.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
25,DevOps Engineer,Infosys,"Noida, Uttar Pradesh",$115K - $197K,Remote,"Automate infrastructure deployment and management using AWS, Docker, and Kubernetes. Ensure system reliability, scalability, and security through robust CI/CD pipelines and cloud-native practices. You will be responsible for monitoring system health and responding to incidents in our production environment. Experience with agile methodologies is preferred for this role.",,"AWS, Docker, Kubernetes, Terraform, Jenkins, Monitoring"
26,Software Engineer,Reliance Digital,"Jaipur, Rajasthan",$142K - $176K,Part-time,"Join our engineering team to solve complex technical challenges. You will apply software design patterns to build reusable libraries and ensure the long-term maintainability of our codebase. This role requires strong problem-solving skills and the ability to work effectively in a collaborative, agile environment. Looking for a self-motivated individual who loves solving complex problems.",,"Java, C++, Spring Boot, SQL, Design Patterns, Unit Testing"
27,Cloud Architect,IBM India,"Kolkata, West Bengal",$94K - $199K,Remote,Architect the foundations of our multi-cloud ecosystem. You will focus on building resilient and secure environments using infrastructure as code and modern devsecops practices. Your goal is to provide a scalable and performant platform that supports our rapidly growing user base and evolving business needs. Join us to make a real impact.,,"AWS, Azure, Cloud Security, Serverless, Infrastructure as Code"
28,Business Analyst,Amazon India,"Kolkata, West Bengal",$88K - $200K,Full-time,"Bridge the gap between business needs and technical solutions. Analyze business processes, gather detailed requirements, and provide data-backed recommendations to improve efficiency. You will work with stakeholders across the company to ensure that our technical projects are aligned with business objectives. Join us to make a real impact.",,"SQL, Tableau, Excel, Requirement Gathering, Process Improvement"
29,Software Engineer,Tata Consultancy Services,"Chennai, Tamil Nadu",$94K - $161K,Remote,"Join our engineering team to solve complex technical challenges. You will apply software design patterns to build reusable libraries and ensure the long-term maintainability of our codebase. This role requires strong problem-solving skills and the ability to work effectively in a collaborative, agile environment. Join us to make a real impact.",,"Java, C++, Spring Boot, SQL, Design Patterns, Unit Testing"
30,DevOps Engineer,Capgemini India,"Hyderabad, Telangana",$137K - $166K,Full-time,"Join our DevOps team to build and maintain the foundations of our software delivery platform. You will focus on building automated testing environments, implementing centralized logging and tracing, and ensuring our developer experience is world-class through efficient tooling and automation. Join us to make a real impact.",,"AWS, Docker, Kubernetes, Terraform, Jenkins, Monitoring"
31,Backend Engineer,Amazon India,"Bengaluru, Karnataka",$94K - $189K,Part-time,"Design and implement scalable backend services and APIs using Node.js and Python. Focus on data integrity, system performance, and building robust distributed systems that handle millions of requests. You will be responsible for database schema design, implementing caching strategies, and ensuring the reliability of our core services. Looking for a self-motivated individual who loves solving complex problems.",,"Node.js, Python, PostgreSQL, Redis, Microservices, gRPC"
32,Backend Engineer,Tata Consultancy Services,"Kolkata, West Bengal",$129K - $190K,Part-time,"We are looking for a Backend Engineer to join our core platform team. You will build high-throughput microservices, optimize complex database queries, and implement secure authentication systems. Experience with message brokers like Kafka or Redis is a plus as you will work on event-driven architectures to process data in real-time. Looking for a self-motivated individual who loves solving complex problems.",,"Node.js, Python, PostgreSQL, Redis, Microservices, gRPC"
